Name_of_the_video;ind;species;medium;MG;TMG;MGA;DG;MSGO;MAGO;MSGC;MAGC;Mhd1;TMhd1;Dhd1;MSDhd1;MADhd1;MSEhd1;MAEhd1;Mhd2;TMhd2;Dhd2;MSDhd2;MADhd2;MSEhd2;MAEhd2;MHA;TMHA;PCD;tweezer
pink2_sans_pince_5_vdt_good_cropped;pink2;A_mexicanum;aquatic;0.3834135;0.022;29.95995;0.072;31.24506;5359.696;-27.50086;3473.897;0.3605109;0.059;0.309;30.87245; 4620.255;-4.490066;1393.093;0.4204632;0.087;0.295;29.17845;5471.376;-3.00691; 828.828;125.7894;0.02;0.314;no
A_mavortium_ind2_pince_seq3_criquet_cropped;A_m_ind2;A_mavortium;terrestrial;1.981058;0.142;66.10082; 0.275;42.12647; 5389.47;-45.15193; 2326.527; 0.1441162;0.298;1.138;8.108465;338.2279;-2.394504;184.35;0.2088421;0.264;1.276;6.722353; 468.1641;-3.000716;190.8823;161.1407;0.146;1.384;yes
A_mavortium_ind2_pince_seq5_criquet_cropped;A_m_ind2;A_mavortium;terrestrial; 1.946309;0.111;70.62669;0.176;51.63191; 6159.468; -47.46453;3629.834;0.4376968; 0.11;0.664;15.19922; 1419.918;-5.998645;1224.278;0.4940395;0.123;0.47;13.05483; 889.5825;-7.140223; 646.0648;153.3804;0.108;0.724;yes
A_mavortium_ind2_pince_seq6_criquet_cropped;A_m_ind2;A_mavortium;terrestrial;2.064721; 0.161;82.7536;0.356;51.93121;2713.157;-38.06933;1321.636;0.2867379;0.196; 0.147;7.831716;596.9494; -9.848385;517.1853;0.7710048; 0.194;0.67;15.03926;427.2283;-12.31996;325.3831;161.0315; 0.139; 0.773;yes
A_mavortium_ind2_sans_pince_seq2_criquet_cropped;A_m_ind2;A_mavortium;terrestrial; 1.938823;0.131;78.00447;0.246;38.24067;1936.698;-34.71639;917.3176;0.3160083;0.363;1.25;12.18617;705.1216;-1.300532;100.0747; 0.6083349;0.167;1.257; 18.59577;1060.775;-3.494562;316.4923;153.501;0.104;1.352;no
A_mavortium_ind2_sans_pince_seq5_criquet_cropped;A_m_ind2;A_mavortium;terrestrial;1.529141;0.12;72.55925;0.25; 50.32517;3559.639;-18.43895;431.9372;0.4200419;0.522;1.203;11.22787;587.6909; -0.6769699;85.73054; 0.2626275;0.456; 1.201; 10.33626;473.4874; -0.9544158; 86.4389;133.3772;0.116; 1.313;no
A_mavortium_ind2_sans_pince_seq7_criquet_cropped;A_m_ind2;A_mavortium;terrestrial; 2.056396;0.221;72.12492;0.403;58.14127;4128.85;-24.10604; 1118.982;0.4118718; 1.069;0.666;1.051696;125.1886;-0.3965117;35.44969;0.2550103;0.906;0.699;0.8869508;131.0173;-0.4912974; 82.23953; 152.3728; 0.163;1.132;no
A_mavortium_ind3_pince_seq1_criquet_cropped;A_m_ind3;A_mavortium;terrestrial;1.777088; 0.078;78.14687; 0.125;57.72135; 25105.15;-57.74755; 4546.841;0.466703;0.213;1.075; 13.42784;979.1621;-5.199322;498.1257;0.6674749;0.222;1.076;16.56878;848.3185;-7.158131; 920.7092;140.0816;0.058;1.135;yes
A_mavortium_ind3_pince_seq2_criquet_cropped;A_m_ind3;A_mavortium;terrestrial; 2.07312;0.095;94.98129; 0.379;51.47942; 18512.66;-44.17324;1814.195;0.1953935;0.116;1.489;12.88937;1063.749; -7.060777;510.9462;0.6664642; 0.125;1.478;19.22667; 844.1035;-5.075555;233.6296;149.6838;0.097;1.555;yes
A_mavortium_ind3_pince_seq4_criquet_cropped;A_m_ind3;A_mavortium;terrestrial; 1.959381;0.109;80.02451;0.224;54.31538; 11246.6;-47.92372;2374.079;0.1108133;0.254; 1.323;14.26519;836.1966; -2.379681;92.25;0.6064831;0.123; 1.302; 37.13883;2250.348; -9.811093;423.3355;135.6549;0.112;1.391;yes
